Distance: 53.21 cm	Timestamp: 2023-06-19 14:10:16	 Vehicle ON
Distance: 53.18 cm	Timestamp: 2023-06-19 14:10:18	 Vehicle ON
Distance: 53.81 cm	Timestamp: 2023-06-19 14:10:20	 Vehicle ON
Distance: 3.76 cm	Timestamp: 2023-06-19 14:10:27	 Vehicle OFF
Distance: 116.93 cm	Timestamp: 2023-06-19 14:48:52	 Vehicle ON
Distance: 2329.77 cm	Timestamp: 2023-06-19 14:48:55	 Vehicle ON
Distance: 2326.89 cm	Timestamp: 2023-06-19 14:48:57	 Vehicle ON
Distance: 2328.94 cm	Timestamp: 2023-06-19 14:48:58	 Vehicle ON
Distance: 2329.24 cm	Timestamp: 2023-06-19 14:49:00	 Vehicle ON
Distance: 2331.36 cm	Timestamp: 2023-06-19 14:49:02	 Vehicle ON
Distance: 2327.81 cm	Timestamp: 2023-06-19 14:49:04	 Vehicle ON
Distance: 2327.95 cm	Timestamp: 2023-06-19 14:49:06	 Vehicle ON
Distance: 6.28 cm	Timestamp: 2023-06-19 14:49:08	 Vehicle OFF
Distance: 2322.02 cm	Timestamp: 2023-06-19 14:50:00	 Vehicle ON
Distance: 21.90 cm	Timestamp: 2023-06-19 14:50:02	 Vehicle ON
Distance: 21.36 cm	Timestamp: 2023-06-19 14:50:04	 Vehicle ON
Distance: 19.21 cm	Timestamp: 2023-06-19 14:50:06	 Vehicle ON
Distance: 16.18 cm	Timestamp: 2023-06-19 14:50:07	 Vehicle ON
Distance: 15.43 cm	Timestamp: 2023-06-19 14:50:09	 Vehicle ON
Distance: 14.51 cm	Timestamp: 2023-06-19 14:50:10	 Vehicle ON
Distance: 11.83 cm	Timestamp: 2023-06-19 14:50:12	 Vehicle ON
Distance: 9.22 cm	Timestamp: 2023-06-19 14:50:14	 Vehicle OFF
Distance: 2326.65 cm	Timestamp: 2023-06-19 14:50:25	 Vehicle ON
Distance: 2327.98 cm	Timestamp: 2023-06-19 14:50:26	 Vehicle ON
Distance: 2330.97 cm	Timestamp: 2023-06-19 14:50:28	 Vehicle ON
Distance: 7.89 cm	Timestamp: 2023-06-19 14:50:30	 Vehicle OFF
Distance: 14.24 cm	Timestamp: 2023-06-19 14:51:04	 Vehicle ON
Distance: 14.65 cm	Timestamp: 2023-06-19 14:51:06	 Vehicle ON
Distance: 15.00 cm	Timestamp: 2023-06-19 14:51:08	 Vehicle ON
Distance: 17.01 cm	Timestamp: 2023-06-19 14:51:10	 Vehicle ON
Distance: 13.93 cm	Timestamp: 2023-06-19 14:51:11	 Vehicle ON
Distance: 12.68 cm	Timestamp: 2023-06-19 14:51:13	 Vehicle ON
Distance: 13.17 cm	Timestamp: 2023-06-19 14:51:15	 Vehicle ON
Distance: 13.41 cm	Timestamp: 2023-06-19 14:51:16	 Vehicle ON
Distance: 10.48 cm	Timestamp: 2023-06-19 14:51:18	 Vehicle ON
Distance: 8.34 cm	Timestamp: 2023-06-19 14:51:19	 Vehicle OFF
Distance: 61.78 cm	Timestamp: 2023-06-19 14:55:02	 Vehicle ON
Distance: 61.32 cm	Timestamp: 2023-06-19 14:55:04	 Vehicle ON
Distance: 61.67 cm	Timestamp: 2023-06-19 14:55:06	 Vehicle ON
Distance: 34.75 cm	Timestamp: 2023-06-19 14:55:08	 Vehicle ON
Distance: 23.16 cm	Timestamp: 2023-06-19 14:55:10	 Vehicle ON
Distance: 19.19 cm	Timestamp: 2023-06-19 14:55:11	 Vehicle ON
Distance: 8.15 cm	Timestamp: 2023-06-19 14:55:13	 Vehicle OFF
